Started Parsing raw log files
Number of files: 2
Opened 1.log.log
NewTask 2 | added to participant #1
MoveBlock 371570992 | added to participant #1
MoveBlock 371570992 | added to participant #1
MoveBlock 371570992 | added to participant #1
MoveBlock 371570992 | added to participant #1
EndDragBlock 371570992 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 1353625448 | added to participant #1
StartDragBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MouseClick | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
MoveBlock 1353625448 | added to participant #1
EndDragBlock 1353625448 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 728039227 | added to participant #1
StartDragBlock 728039227 | added to participant #1
MoveBlock 728039227 | added to participant #1
MouseClick | added to participant #1
MoveBlock 728039227 | added to participant #1
MoveBlock 728039227 | added to participant #1
MoveBlock 728039227 | added to participant #1
MoveBlock 728039227 | added to participant #1
MoveBlock 728039227 | added to participant #1
MoveBlock 728039227 | added to participant #1
MoveBlock 728039227 | added to participant #1
EndDragBlock 728039227 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 104392148 | added to participant #1
StartDragBlock 104392148 | added to participant #1
MoveBlock 104392148 | added to participant #1
MouseClick | added to participant #1
MoveBlock 104392148 | added to participant #1
MoveBlock 104392148 | added to participant #1
MoveBlock 104392148 | added to participant #1
MoveBlock 104392148 | added to participant #1
MoveBlock 104392148 | added to participant #1
MoveBlock 104392148 | added to participant #1
MoveBlock 104392148 | added to participant #1
EndDragBlock 104392148 | added to participant #1
MouseReleased | added to participant #1
CreateBlock 531360588 | added to participant #1
StartDragBlock 531360588 | added to participant #1
MoveBlock 531360588 | added to participant #1
MouseClick | added to participant #1
MoveBlock 531360588 | added to participant #1
